met_id,abbreviation,createdDate,updatedDate,fullName,description,synonyms,iupac,neutralFormula,chargedFormula,charge,avgmolweight,monoisotopicweight,miriam,biggId,lmId,ehmnId,hepatonetId,keggId,pubChemId,cheBlId,chembl,inchiString,inchiKey,smile,hmdb,metanetx,seed,pdmapName,reconMap,reconMap3,golgimap,lysosomemap,mitochondrionmap,nucleusmap,peroxisomemap,reticulummap,food_db,chemspider,biocyc,wikipedia,drugbank,knapsack,phenolExplorer,metlin,casRegistry,epa_id,echa_id,iuphar_id,fda_id,mesh_id,chodb_id,isHuman,isMicrobe,Compound_ID,Pathway_ID,Pathway_Name
4,10fthf,2018-05-31T15:54:08.170242Z,2019-02-08T16:20:18.422023Z,10-Formyltetrahydrofolate,"Human Metabolome Database (HMDB): 10-Formyltetrahydrofolate (10-CHO-THF) is form of tetrahydrofolate that acts as a donor of formyl groups in anabolism. In particular, 10-CHO-THF is used as a substrate in a number of formyltransferase reactions. It plays an important role in purine biosynthesis, where 10-CHO-THF is a substrate for phosphoribosylaminoimidazolecarboxamide formyltransferase, as well as in the formylation of the methionyl initiator tRNA (fMet-tRNA), when 10-CHO-THF is a substrate for methionyl-tRNA formyltransferase. 10-Formyltetrahydrofolate is a substrate for Trifunctional purine biosynthetic protein adenosine-3, Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase (mitochondrial), 10-formyltetrahydrofolate dehydrogenase, Folylpolyglutamate synthase (mitochondrial), Bifunctional purine biosynthesis protein PURH and C-1-tetrahydrofolate synthase (cytoplasmic).","10-Formyl-THF***10-Formyltetrahydrofolic acid***10-Formyl-(6Rs)-tetrahydrofolic acid***10-Formyl-H4pteglu1***10-Formyl-tetrahydrofolate***10-Formyltetrahydropteroylglutamate***10-Formyltetrahydropteroylglutamic acid***10-FTHF***N-[P-[N-[(2-amino-5,6,7,8-tetrahydro-4-Hydroxy-6-pteridinyl)methyl]formamido]benzoyl]-glutamate***N-[P-[N-[(2-amino-5,6,7,8-tetrahydro-4-Hydroxy-6-pteridinyl)methyl]formamido]benzoyl]-glutamic acid***N-[P-[N-[(2-amino-5,6,7,8-tetrahydro-4-Hydroxy-6-pteridinyl)methyl]formamido]benzoyl]-L-glutamate***N-[P-[N-[(2-amino-5,6,7,8-tetrahydro-4-Hydroxy-6-pteridinyl)methyl]formamido]benzoyl]-L-glutamic acid***N10-Formyl-5,6,7,8-tetrahydrofolate***N10-Formyl-5,6,7,8-tetrahydrofolic acid***N10-Formyl-H4F***N10-Formyl-THF***N10-Formyltetrahydrofolate***N10-Formyltetrahydrofolic acid***N10-Formyltetrahydropteroylglutamate","(2S)-2-[(4-{N-[(2-amino-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl)methyl]formamido}phenyl)formamido]pentanedioic acid",,C20H21N7O7,-2,473.4393,473.1658961,http://identifiers.org/vmhmetabolite/10fthf,10fthf,,,HC00212,C00234,122347,15637,,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)23-11(7-22-16)8-27(9-28)12-3-1-10(2-4-12)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,11,13,23H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,22,25,26,32)/p-2/t11?,13-/m0/s1",AUFGTPPARQZWDO-YUZLPWPTSA-L,[H]OC1=NC(=NC2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H])N([H])[H],HMDB0000972,MNXM237,cpd00201,,10fthf,10fthf,,10fthf,10fthf,,,,FDB022345,109092,10-FORMYL-THF,10-formyl-tetrahydrofolate,,,,5912,2800-34-2,,,,,,10fthf,True,True,cpd:C00234,path:map01100;path:map01240;path:map01120;path:map01523;path:map01200;path:map00720;path:map00970;path:map00670,Metabolic pathways;Biosynthesis of cofactors;Microbial metabolism in diverse environments;Antifolate resistance;Carbon metabolism;Other carbon fixation pathways;Aminoacyl-tRNA biosynthesis;One carbon pool by folate
1,10fthf5glu,2018-05-31T15:54:08.170242Z,2019-02-01T14:33:17.460050Z,10-Formyltetrahydrofolate-[Glu](5),,,,,C40H45N11O19,-6,,,http://identifiers.org/vmhmetabolite/10fthf5glu,10fthf5glu,,,,,,,,"InChI=1S/C40H51N11O19/c41-40-49-32-31(37(66)50-40)43-19(15-42-32)16-51(17-52)20-3-1-18(2-4-20)33(62)47-24(38(67)68)5-10-26(53)44-21(6-11-27(54)55)34(63)45-22(7-12-28(56)57)35(64)46-23(8-13-29(58)59)36(65)48-25(39(69)70)9-14-30(60)61/h1-4,17,19,21-25,43H,5-16H2,(H,44,53)(H,45,63)(H,46,64)(H,47,62)(H,48,65)(H,54,55)(H,56,57)(H,58,59)(H,60,61)(H,67,68)(H,69,70)(H4,41,42,49,50,66)/p-6",RGSLBOWMZCMTRA-UHFFFAOYSA-H,[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H],,MNXM3428,,,10fthf5glu,10fthf5glu,,10fthf5glu,10fthf5glu,,,,,,,,,,,,,,,,,,10fthf5glu,True,True,,,
2,10fthf6glu,2018-05-31T15:54:08.170242Z,2018-12-03T15:29:15.338860Z,10-Formyltetrahydrofolate-[Glu](6),,,,,C45H51N12O22,-7,,,http://identifiers.org/vmhmetabolite/10fthf6glu,10fthf6glu,,,,,,,,"InChI=1S/C45H58N12O22/c46-45-55-36-35(38(67)56-45)48-21(17-47-36)18-57(19-58)22-3-1-20(2-4-22)37(66)54-28(44(78)79)9-15-33(63)52-26(42(74)75)7-13-31(61)50-24(40(70)71)5-11-29(59)49-23(39(68)69)6-12-30(60)51-25(41(72)73)8-14-32(62)53-27(43(76)77)10-16-34(64)65/h1-4,19,21,23-28,48H,5-18H2,(H,49,59)(H,50,61)(H,51,60)(H,52,63)(H,53,62)(H,54,66)(H,64,65)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,78,79)(H4,46,47,55,56,67)/p-7/t21?,23?,24?,25?,26?,27?,28-/m1/s1",SFFBEUFYOPMKMV-CWMPVMSNSA-G,[H]OC(=O)C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])C([H])(N=C([O-])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C1=C([H])C([H])=C(C([H])=C1[H])N(C([H])=O)C([H])([H])C1([H])N([H])C2=C(N([H])C(=N[H])N=C2[O-])N([H])C1([H])[H])C(=O)O[H])C(=O)O[H])C(=O)O[H])C(=O)O[H])C(=O)O[H])C([H])([H])C([H])([H])C([O-])=O,,MNXM3429,,,10fthf6glu,10fthf6glu,,10fthf6glu,10fthf6glu,,,,,,,,,,,,,,,,,,10fthf6glu,True,False,,,
3,10fthf7glu,2018-05-31T15:54:08.170242Z,2018-12-03T15:29:15.079598Z,10-Formyltetrahydrofolate-[Glu](7),,,,,C50H57N13O25,-8,,,http://identifiers.org/vmhmetabolite/10fthf7glu,10fthf7glu,,,,,,,,"InChI=1S/C50H65N13O25/c51-50-61-40-39(47(84)62-50)53-23(19-52-40)20-63(21-64)24-3-1-22(2-4-24)41(78)59-30(48(85)86)5-12-32(65)54-25(6-13-33(66)67)42(79)55-26(7-14-34(68)69)43(80)56-27(8-15-35(70)71)44(81)57-28(9-16-36(72)73)45(82)58-29(10-17-37(74)75)46(83)60-31(49(87)88)11-18-38(76)77/h1-4,21,23,25-31,53H,5-20H2,(H,54,65)(H,55,79)(H,56,80)(H,57,81)(H,58,82)(H,59,78)(H,60,83)(H,66,67)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,85,86)(H,87,88)(H4,51,52,61,62,84)/p-8",VTHHVZBTNSHUDD-UHFFFAOYSA-F,[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H],,MNXM5422,,,10fthf7glu,10fthf7glu,,10fthf7glu,10fthf7glu,,,,,,,,,,,,,,,,,,10fthf7glu,True,False,,,
825,11_cis_retfa,2018-05-31T15:54:08.170242Z,2018-11-22T10:30:13.817730Z,Fatty Acid 11-Cis-Retinol,,,,,C20H29OFULLR2CO,0,,,http://identifiers.org/vmhmetabolite/11_cis_retfa,11_cis_retfa,,,,,,,,,,,,MNXM146564,,,11_cis_retfa,11_cis_retfa,,,,,,,,,,,,,,,,,,,,,11_cis_retfa,True,False,,,
5,11docrtsl,2018-05-31T15:54:08.170242Z,2019-02-08T16:19:08.810493Z,Cortexolone,"Human Metabolome Database (HMDB): Cortexolone is also known as 11-Deoxy-17-hydroxy-corticosterone or 11-Deoxy-cortisol.  Cortexolone is considered to be practically insoluble (in water) and relatively neutral.  Cortexolone can be found throughout all human tissues; and in blood and urine. Cortexolone can be found throughout a human cell. Cortexolone is found in eukaryotic species, from E.coli to Humans","11-Desoxy-17-hydroxycorticosterone***Cortodoxone***11-Deoxycortisol***SK&F 3050***Reichstein substance S***Substance S, reichstein's***11 Deoxycortisol***11 Desoxycortisol***11 Desoxycortisone***S, Reichstein's substance***11-Desoxycortisol***11-Desoxycortisone***Reichsteins substance S***Reichstein's substance S***Cortexolone***11-Deoxy-17-hydroxycorticosterone***11-Deoxyhydrocortisone***11-Desoxyhydrocortisone***17,21-Dihydroxy-4-pregnene-3,20-dione***17,21-Dihydroxypregn-4-ene-3,20-dione***17,21-Dihydroxyprogesterone***17-Hydroxy-11-deoxycorticosterone***17alpha-Hydroxycortexone***20-Dione 17,21-dihydroxypregn-4-ene-3***4-Pregnene-17alpha,21-diol-3,20-dione***Compound S***11-Deoxy-17-hydrocorticosterone***11-Deoxycortisone***11-Desoxy-17α-hydroxycorticosterone***11-Desoxy-17alpha-hydroxycorticosterone***17,21-Dihydroxypregn-4-en-3,20-dione***17α,21-Dihydroxy-4-pregnen-3,20-dione***17α,21-Dihydroxypregn-4-ene-3,20-dione***17α,21-Dihydroxyprogesterone***17α-Hydroxycortexone***4-Pregnen-17α,21-diol-3,20-dione***4-Pregnene-17α,21-diol-3,20-dione***17alpha,21-Dihydroxy-4-pregnen-3,20-dione***17alpha,21-Dihydroxypregn-4-ene-3,20-dione***17alpha,21-Dihydroxyprogesterone***4-Pregnen-17alpha,21-diol-3,20-dione","17,21-Dihydroxypregn-4-ene-3,20-dione",,C21H30O4,0,346.4605,346.2144094,http://identifiers.org/vmhmetabolite/11docrtsl,11docrtsl,LMST02030086,,,C05488,53477676,,,"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1",WHBHBVVOGNECLV-OBQKJFGGSA-N,[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],HMDB0000015,MNXM163103,cpd03268,,11docrtsl,11docrtsl,,,11docrtsl,,,11docrtsl,FDB021872,,11-DEOXY-CORTISOL,Cortexolone,,,,5088,152-58-9,DTXSID8045642,,,,,11docrtsl,True,False,cpd:C05488,path:map01100;path:map00140;path:map04934;path:map04927,Metabolic pathways;Steroid hormone biosynthesis;Cushing syndrome;Cortisol synthesis and secretion
6,11docrtstrn,2018-05-31T15:54:08.170242Z,2019-02-08T16:19:08.928909Z,Deoxycorticosterone,"Human Metabolome Database (HMDB): 11-Deoxycorticosterone (also called desoxycortone, 21-hydroxyprogesterone, DOC, or simply deoxycorticosterone) is a steroid hormone produced by the adrenal gland that possesses mineralocorticoid activity and acts as a precursor to aldosterone. It is classified as a member of the 21-hydroxysteroids. 21-hydroxysteroids are steroids carrying a hydroxyl group at the 21-position of the steroid backbone. Deoxycorticosterone is very hydrophobic, practically insoluble (in water), and relatively neutral. Deoxycorticosterone can be synthesized from progesterone by 21-beta-hydroxylase and is then converted to corticosterone by 11-beta-hydroxylase. Corticosterone is then converted to aldosterone by aldosterone synthase. Deoxycorticosterone stimulates the collecting tubules in the kidney to continue to excrete potassium in much the same way that aldosterone does. Deoxycorticosterone has about 1/20 of the sodium retaining power of aldosterone and about 1/5 the potassium excreting power of aldosterone (Wikipedia). Deoxycorticosterone can be found throughout all human tissues and has been detected in amniotic fluid and blood. When present in sufficiently high levels, deoxycorticosterone can act as a hypertensive agent and a metabotoxin. A hypertensive agent increases blood pressure and causes the production of more urine. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels.  Chronically high levels of deoxycorticosterone are associated with congenital adrenal hyperplasia (CAH) and with adrenal tumors producing deoxycorticosterone (PMID: 20671982). High levels of this mineralocorticoid are associated with resistant hypertension, which can result in polyuria, polydipsia, increased blood volume, edema, and cardiac enlargement. Deoxycorticosterone can be used to treat adrenal insufficiency. In particular, desoxycorticosterone acetate (DOCA) is used as replacement therapy in Addison's disease.","21-Hydroxy-4-pregnene-3,20-dione***21-Hydroxyprogesterone***4-Pregnen-21-ol-3,20-dione***Cortexone***DESOXYCORTICOSTERONE***Desoxycortone***DOC***Kendall's desoxy compound b***Reichstein's substance Q***11-Dehydroxycorticosterone***11-Deoxy-corticosterone***11-Deoxycorticosterone***11-Desoxycorticosterone***21-Hydroxy-3,20-dioxopregn-4-ene***21-Hydroxy-D4-pregnane-3,20-dione***21-Hydroxy-D4-pregnene-3,20-dione***21-Hydroxy-pregn-4-ene-3,20-dione***21-Hydroxy-progesterone***21-Hydroxypregn-4-ene-3,20-dione***D4-Pregnene-21-ol-3,20-dione***Deoxycortone***Doca***11-Decorticosterone***21 Hydroxyprogesterone***11 Decorticosterone***21 Hydroxy 4 pregnene 3,20 dione","21-Hydroxypregn-4-ene-3,20-dione",,C21H30O3,0,330.4611,330.2194948,http://identifiers.org/vmhmetabolite/11docrtstrn,11docrtstrn,LMST02030087,,,C03205,6166,16973,CHEMBL1498,"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1",ZESRJSPZRDMNHY-YFWFAHHUSA-N,[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H],HMDB0000016,MNXM162887,cpd02047,,11docrtstrn,11docrtstrn,,,11docrtstrn,,,11docrtstrn,FDB021873,5932,11-DEOXYCORTICOSTERONE,Deoxycorticosterone,,,,5089,64-85-7,DTXSID0045254,100.000.543,2871,40GP35YQ49,D003900,11docrtstrn,True,False,cpd:C03205,path:map04925;path:map01100;path:map00140,Aldosterone synthesis and secretion;Metabolic pathways;Steroid hormone biosynthesis
386,12HPET,2018-05-31T15:54:08.170242Z,2019-02-08T16:22:37.619695Z,12(S)-HPETE,"Human Metabolome Database (HMDB): 12-HPETE is one of the six monohydroperoxy fatty acids produced by the non-enzymatic oxidation of arachidonic acid (Leukotrienes). Reduction of the hydroperoxide yields the more stable hydroxyl fatty acid (+/-)12-HETE. A family of biologically active compounds derived from arachidonic acid by oxidative metabolism through the 5-lipoxygenase pathway. They participate in host defense reactions and pathophysiological conditions such as immediate hypersensitivity and inflammation. They have potent actions on many essential organs and systems, including the cardiovascular, pulmonary, and central nervous system as well as the gastrointestinal tract and the immune system.","(5Z,8Z,10E,12S,14Z)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid***(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyeicosa-5,8,10,14-tetraenoate***(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate***(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid***12-HpETE***12-Hydroperoxyeicosatetraenoate***12-Hydroperoxyeicosatetraenoic acid***12-Hydroperoxyicosatetraenoate***12-Hydroperoxyicosatetraenoic acid***12-Oohete***Arachidonic acid omega-9 hydroperoxide***Omega-9 hpaa***Omega-9-hydroperoxyarachidonic acid***(5Z,8Z,10E,12S,14Z)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate***(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyeicosa-5,8,10,14-tetraenoic acid***Arachidonate omega-9 hydroperoxide***Omega-9-hydroperoxyarachidonate***12-HPETE, (e,Z,Z,Z)-isomer***12-Hydroperoxy-5,8,10,14-icosatetraenoic acid***12-HPETE, (S-(e,Z,Z,Z))-isomer***12-HPETE, (S-(e,e,e))-isomer***12-L-Hydroperoxy-5,8,10,14-eicosatetraenoic acid","(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid",,C20H31O4,-1,336.4657,336.2300595,http://identifiers.org/vmhmetabolite/12HPET,12HPET,LMFA03060013,,,C05965,5280892,15626,,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m0/s1",ZIOZYRSDNLNNNJ-APFHZBIOSA-M,[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],HMDB0004243,MNXM13989,,,12HPET,12HPET,,,,,,12HPET,FDB023348,4444415,,,,,,7038,71774-10-2,DTXSID50349638,,,,,12HPET,True,False,cpd:C05965,path:map04726;path:map01100;path:map00590;path:map04750,Serotonergic synapse;Metabolic pathways;Arachidonic acid metabolism;Inflammatory mediator regulation of TRP channels
387,12RHPET,2018-05-31T15:54:08.170242Z,2018-11-22T10:30:15.182575Z,12R-Hydroperoxyeicosatetraenoate,,,,,C20H31O4,-1,,,http://identifiers.org/vmhmetabolite/12RHPET,12RHPET,,,,,,,,"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m1/s1",ZIOZYRSDNLNNNJ-AUXIVJNKSA-M,[H]OO[C@@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],HMDB06222,MNXM13994,,,12RHPET,,,,,,,,,,,,,,,,,,,,,,12RHPET,True,False,,,
2208,12dgr120,2018-05-31T15:54:08.170242Z,2019-01-29T08:27:28.886368Z,"1,2-Diacyl-Sn-Glycerol (Didodecanoyl, N-C12:0)",,,,,C27H52O5,0,,,http://identifiers.org/vmhmetabolite/12dgr120,12dgr120,,,,,,,,"InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-24-25(23-28)32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3",OQQOAWVKVDAJOI-UHFFFAOYSA-N,[H]OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,MNXM4939,cpd15306,,12dgr120,12dgr120,,,,,,,,,,,,,,,,,,,,,,True,True,,,
